id,unified_name,preliminary_type,Year,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections ,TCEQ PWS Code,Wholesale System?,Water Use Survey Form Type,PWS System Class
409200,CITY OF HUNTINGTON,water system,2022.0,N," 2,045 "," 40,793,100 ", 792 ," 2,679,500 ", 111 ," 8,661,600 ", 79 ,,," 4,558,300 ", 26 ,,," 56,692,500 "," 1,008 "," 10,000,000 ", 63 ,TX0030002,N,Municipal Long,Municipal
409250,HUNTINGTON ESTATES,water system,2022.0,N, 378 ," 7,939,000 ", 126 ,,,,,,,,,,," 7,939,000 ", 126 ," 1,808,000 ",,TX1050124,N,Municipal Long,Private/IOU
410780,LAKE FORK WSC,water system,2022.0,N," 4,716 "," 58,703,330 "," 1,580 ",,," 5,956,990 ", 60 ,,,,,,," 64,660,320 "," 1,640 "," 10,383,068 ",,TX2500039,N,Municipal Long,Water Supply Corporation
413300,CITY OF HUXLEY,water system,2022.0,N," 2,208 "," 30,417,000 ", 721 ,,," 2,086,000 ", 9 ,,,,," 3,893,000 ", 10 ," 36,396,000 ", 740 ," 9,283,900 ", 55 ,TX2100019,N,Municipal Long,Municipal
418200,CITY OF IDALOU,water system,2022.0,N," 2,250 "," 98,006,000 ", 861 ,,," 15,563,000 ", 73 ,,," 3,971,000 ", 15 ,,," 126,851,000 ", 950 ," 865,700 ", 1 ,TX1520001,N,Municipal Long,Municipal
418902,LIVE OAK LANDING SUBDIVISION,water system,2022.0,N, 66 ," 1,841,000 ", 22 ,,,,,,,,,,," 1,841,000 ", 22 ,,,TX1610129,N,Municipal Long,Water Supply Corporation
419280,INDIAN HILLS HARBOR,water system,2022.0,N, 297 ," 2,790,000 ", 98 ,,," 9,000 ", 1 ,,,,,,," 2,799,000 ", 99 ," 3,545,000 ",,TX1580063,N,Municipal Long,Private/IOU
419282,TOWN OF INDIAN LAKE,water system,2022.0,N, 865 ," 10,488,261 ", 289 ,,,,,,,,,,," 10,488,261 ", 289 ,,,TX0310008,N,Municipal Long,Municipal
419284,INDIAN SPRINGS SUBDIVISION,water system,2022.0,Y, 159 ," 3,402,090 ", 53 ,,,,,,,,,,," 3,402,090 ", 53 ," 15,000 ",,TX2270210,N,Municipal Long,Private/IOU
419352,INGRAM OAKS RETIREMENT COMMUNITY,water system,,,,,,,,,,,,,,,,,,,,TX1330142,N,Municipal Short,Private/IOU
419370,INGRAM WATER SUPPLY,water system,2022.0,Y," 5,238 ",,,,,,,,,,,,,,,,,TX1330011,N,Municipal Long,Private/IOU
419382,CITY OF INGLESIDE ON THE BAY,water system,2022.0,N, 620 ," 17,317,900 ", 345 ," 336,000 ", 2 ,,,,,,,,," 17,653,900 ", 347 ," 720,000 ", 37 ,TX2050071,N,Municipal Long,Municipal
421725,INVERNESS POINT WATER SYSTEM,water system,2022.0,N, 894 ," 41,751,000 ", 296 ,,,,,,,,," 257,000 ", 2 ," 42,008,000 ", 298 ," 429,000 ",,TX2270102,N,Municipal Long,Private/IOU
423000,CITY OF IRAAN,water system,2022.0,N," 1,004 "," 52,092,000 ", 449 ,,," 5,820,760 ", 49 ,,," 27,609,000 ", 37 ,,," 85,521,760 ", 535 ," 4,433,757 ",,TX1860002,N,Municipal Long,Municipal
423500,IRA WSC,water system,2022.0,Y," 1,100 "," 11,734,600 ", 374 ,,,,,,,,,,," 11,734,600 ", 374 ," 3,530,000 ", 1 ,TX2080004,N,Municipal Long,Water Supply Corporation
423800,CITY OF IREDELL,water system,2022.0,N, 309 ," 9,450,936 ", 150 ,,," 740,830 ", 2 ,,," 1,050,104 ", 8 ,,," 11,241,870 ", 160 ," 1,500,000 ",,TX0180014,N,Municipal Long,Municipal
424700,RUSK RURAL WSC IRON HILL,water system,2022.0,N, 644 ," 6,338,000 ", 161 ,,,,,,,,,,," 6,338,000 ", 161 ,,,TX0370022,N,Municipal Long,Water Supply Corporation
426510,LONE STAR PUBLIC WATER SYSTEM,water system,2022.0,N," 2,436 "," 70,014,000 ", 812 ,,,,,,,,,,," 70,014,000 ", 812 ,,,TX1700655,N,Municipal Long,Private/IOU
427000,CITY OF ITASCA,water system,2022.0,N," 1,851 ",, 615 ,, 2 ,, 15 ,,,,,,,, 632 ,,,TX1090003,N,Municipal Long,Municipal
432810,CITY OF JACKSBORO,water system,2022.0,N," 4,000 "," 89,100,322 "," 1,281 "," 2,310,333 ", 12 ," 29,864,385 ", 217 ," 382,000 ", 1 ," 29,860,392 ", 53 ,,," 151,517,432 "," 1,564 ",,,TX1190002,N,Municipal Long,Municipal
432845,PAXTON WSC JACKSON PLANT,water system,2022.0,Y, 827 ,,,,,,,,,,,,,,,,,TX2100031,N,Municipal Long,Water Supply Corporation
433000,JACOBS WSC PLANT 3 & 4,water system,2022.0,N," 1,300 "," 19,822,350 ", 260 ,,,,," 17,020 ", 1 ," 32,870 ", 1 ,,," 19,872,240 ", 262 ,,,TX2010062,N,Municipal Long,Water Supply Corporation
433150,CITY OF JAMAICA BEACH,water system,2022.0,N," 2,000 "," 88,687,000 "," 1,314 ",,,,,,,,,,," 88,687,000 "," 1,314 "," 4,000,000 ", 100 ,TX0840030,N,Municipal Long,Municipal
433300,JAMESTOWN WSC,water system,2022.0,N, 600 ," 8,297,960 ", 174 ,,,,,,,,,,," 8,297,960 ", 174 ," 600,000 ", 12 ,TX1760023,N,Municipal Long,Water Supply Corporation
433500,JARRELL SCHWERTNER WSC,water system,2022.0,N," 7,545 "," 175,875,900 "," 2,114 "," 3,416,000 ", 11 ," 21,038,300 ", 88 ," 1,929,500 ", 19 ," 2,747,300 ", 26 ," 30,674,000 ", 257 ," 235,681,000 "," 2,515 "," 74,401,253 ",,TX2460011,N,Municipal Long,Water Supply Corporation
433600,CITY OF JARRELL,water system,2022.0,N," 1,734 "," 105,190,000 ", 525 ,,,, 53 ,,,,,,," 105,190,000 ", 578 ," 7,500 ", 10 ,TX2460169,N,Municipal Long,Municipal
434000,JARVIS CHRISTIAN COLLEGE,water system,,,,,,,,,,,,,,,,,,,,TX2500011,N,Municipal Short,Institutions/Facilities
435200,CITY OF JAYTON,water system,2022.0,Y, 530 ," 10,413,376 ", 267 ,,," 314,081 ", 40 ," 2,845,379 ", 3 ,,," 337,690 ", 4 ," 13,910,526 ", 314 ," 20,000 ", 4 ,TX1320001,N,Municipal Long,Municipal
436920,JEFFERSON COUNTY WCID 10,water system,2022.0,N," 5,500 "," 86,848,000 "," 1,583 ",,," 31,112,000 ", 197 ,,,,,,," 117,960,000 "," 1,780 ",,,TX1230003,N,Municipal Long,District 
437500,CITY OF JERSEY VILLAGE,water system,2022.0,N," 7,959 "," 184,589,000 "," 2,389 "," 58,291,000 ", 750 ," 102,222,000 ", 188 ,,," 34,235,000 ", 19 ," 51,293,000 ", 2 ," 430,630,000 "," 3,348 ",,,TX1010016,N,Municipal Long,Municipal
437600,CITY OF JEWETT,water system,2022.0,N," 1,220 "," 33,111,250 ", 443 ," 1,147,650 ", 2 ," 11,316,440 ", 57 ,,,,,,," 45,575,340 ", 502 ,,,TX1450007,N,Municipal Long,Municipal
437700,JIM WELLS COUNTY FWSD 1,water system,2022.0,N," 1,950 "," 53,894,146 ", 650 ,,," 360,000 ", 5 ,,," 2,200,000 ", 5 ,,," 56,454,146 ", 660 ,,,TX1250030,N,Municipal Long,District 
438349,J & R MHP,water system,,,,,,,,,,,,,,,,,,,,TX0110023,N,Municipal Short,Mobile Home Park
438500,B & J WATER CO,water system,2022.0,N, 675 ," 19,154,000 ", 225 ,,,,,,,,,,," 19,154,000 ", 225 ,,,TX0930012,N,Municipal Long,Private/IOU
439000,SLEEPY HOLLOW TRAILER PARK,water system,,,,,,,,,,,,,,,,,,,,TX1080058,N,Municipal Short,Mobile Home Park
439200,CITY OF JOHNSON CITY,water system,2022.0,N," 2,091 "," 33,412,208 ", 713 ," 3,513,397 ", 53 ," 8,459,435 ", 127 ," 1,343,823 ", 8 ," 8,286,151 ", 58 ,, 1 ," 55,015,014 ", 960 ,,,TX0160001,N,Municipal Long,Municipal
440305,LAME DUCK WATER SYSTEM,water system,2022.0,Y, 179 ,,,,,,,,,,,,,,,,,TX0180072,N,Municipal Long,Private/IOU
440306,JOHNSON MOBILE HOME PARK,water system,,,,,,,,,,,,,,,,,,,,TX1020080,N,Municipal Short,Mobile Home Park
440370,JONESTOWN WSC,water system,2022.0,Y," 5,835 ",," 1,885 ",, 24 ,, 15 ,,,, 1 ,,,," 1,925 ",,,TX2270011,N,Municipal Long,Water Supply Corporation
440380,JONES WSC,water system,2022.0,N," 6,024 "," 104,140,900 "," 1,915 ",,," 8,662,800 ", 46 ,,," 1,374,300 ", 19 ," 2,229,500 ", 28 ," 116,407,500 "," 2,008 "," 29,229,756 ", 112 ,TX2500007,N,Municipal Long,Water Supply Corporation
440425,BERNARD RIVER OAKS,water system,2022.0,N, 30 ," 848,900 ", 12 ,,,,,,,,,,," 848,900 ", 12 ," 25,000 ",,TX0200043,N,Municipal Long,Private/IOU
440450,CHOCTAW SUBDIVISION,water system,2022.0,N, 63 ," 1,004,800 ", 25 ,,,,,,,,,,," 1,004,800 ", 25 ," 20,000 ",,TX0200128,N,Municipal Long,Private/IOU
440500,HOMELAND SUBDIVISION,water system,2022.0,N, 113 ," 1,799,700 ", 45 ,,,,,,,,,,," 1,799,700 ", 45 ," 50,000 ",,TX0200040,N,Municipal Long,Private/IOU
440510,JONES CREEK TERRACE,water system,2022.0,N, 785 ," 17,366,840 ", 314 ,,,,,,,,,,," 17,366,840 ", 314 ," 1,400,000 ",,TX0200041,N,Municipal Long,Private/IOU
440520,JONES CREEKWOOD,water system,2022.0,N, 43 ," 778,700 ", 17 ,,,,,,,,,,," 778,700 ", 17 ," 20,000 ",,TX0200042,N,Municipal Long,Private/IOU
440530,RIVER OAKS,water system,2022.0,N, 128 ," 2,887,760 ", 51 ,,,,,,,,,,," 2,887,760 ", 51 ," 20,000 ",,TX0200139,N,Municipal Long,Private/IOU
440535,ROYAL RIDGE,water system,2022.0,N, 198 ," 4,641,630 ", 79 ,,,,,,,,,,," 4,641,630 ", 79 ," 300,000 ",,TX0200127,N,Municipal Long,Private/IOU
440540,CITY OF JOSEPHINE,water system,2022.0,N," 6,960 "," 176,806,616 "," 2,670 ",,," 1,899,400 ", 6 ,,," 2,901,357 ", 5 ,,," 181,607,373 "," 2,681 "," 500,000 ", 4 ,TX0430036,N,Municipal Long,Municipal
441600,CITY OF JUNCTION,water system,2022.0,N," 2,500 "," 51,565,100 "," 1,047 "," 14,910,000 ", 10 ," 33,147,300 ", 224 ,,," 17,310,000 ", 13 ,,," 116,932,400 "," 1,294 "," 32,500 ", 6 ,TX1340001,N,Municipal Long,Municipal
442400,CITY OF JUSTIN,water system,2022.0,N," 4,757 "," 209,519,773 "," 1,841 "," 13,814,076 ", 416 ," 27,894,137 ", 132 ,,," 1,984,556 ", 5 ,,," 253,212,542 "," 2,394 "," 18,396,000 ", 1 ,TX0610003,N,Municipal Long,Municipal
456000,ARIMAK WATER SUPPLY,water system,2022.0,N, 100 ," 5,909,200 ", 36 ,,,,,,,,,,," 5,909,200 ", 36 ,,,TX1330135,N,Municipal Long,Private/IOU
457800,CITY OF KARNES CITY,water system,2022.0,N," 3,500 "," 73,872,800 "," 1,213 "," 2,691,300 ", 12 ," 15,108,000 ", 173 ," 155,700 ", 6 ," 3,985,400 ", 24 ,,," 95,813,200 "," 1,428 ",,,TX1280001,N,Municipal Long,Municipal
458610,PEEK ROAD MOBILE HOME PARK,water system,,,,,,,,,,,,,,,,,,,,TX1012861,N,Municipal Short,Mobile Home Park
458900,KEENAN WSC,water system,2022.0,N," 1,308 "," 34,940,800 ", 427 ," 393,900 ", 1 ," 458,200 ", 4 ," 345,500 ", 3 ," 8,425,600 ", 1 ,,," 44,564,000 ", 436 ,,,TX1700005,N,Municipal Long,Water Supply Corporation
459400,CITY OF KEENE,water system,2022.0,N," 6,346 "," 116,787,059 "," 2,337 ",,," 31,193,642 ", 130 ,,,,," 9,664,002 ", 95 ," 157,644,703 "," 2,562 "," 2,711,428 ",,TX1260008,N,Municipal Long,Municipal
460875,KELLYVILLE BEREA WSC,water system,2022.0,N," 1,347 "," 21,519,857 ", 442 ,,," 340,812 ", 7 ,,,,,,," 21,860,669 ", 449 ," 500,000 ",,TX1580003,N,Municipal Long,Water Supply Corporation
461465,CITY OF KEMP,water system,2022.0,N," 2,988 "," 35,233,000 ", 773 ," 1,730,000 ", 62 ," 5,127,000 ", 59 ,,," 21,406,000 ", 49 ,,," 63,496,000 ", 943 ," 5,470,017 ", 63 ,TX1290004,N,Municipal Long,Municipal
461540,KENDALL POINTE,water system,2022.0,Y, 339 ,,,,,,,,,,,,,,,,,TX1300041,N,Municipal Long,Private/IOU
461600,CITY OF KENDLETON,water system,2022.0,Y, 774 ,, 245 ,,,,,,,,,,,, 245 ,,,TX0790018,N,Municipal Long,Municipal
461810,KENNEDY RIDGE WSC,water system,2022.0,Y, 876 ," 18,132,000 ", 292 ,,,,,,,,,,," 18,132,000 ", 292 ," 55,000 ",,TX2270308,N,Municipal Long,Water Supply Corporation
462000,CITY OF KENNARD,water system,2022.0,N, 475 ," 9,875,000 ", 170 ,,," 240,950 ", 6 ," 45,000 ", 1 ," 2,956,800 ", 11 ,,," 13,117,750 ", 188 ,,,TX1130011,N,Municipal Long,Municipal
462620,KENNEDY ROAD WSC,water system,2022.0,Y, 85 ," 1,599,000 ", 35 ,,,,,,,,,,," 1,599,000 ", 35 ,,,TX2010055,N,Municipal Long,Water Supply Corporation
462900,KENTUCKYTOWN WSC,water system,2022.0,Y," 3,300 "," 92,405,600 "," 1,173 ",,," 114,500 ", 1 ,,," 4,121,000 ", 4 ,,," 96,641,100 "," 1,178 ",,,TX0910060,N,Municipal Long,Water Supply Corporation
463200,CITY OF KERENS,water system,2022.0,Y," 1,750 "," 22,699,190 ", 491 ," 2,301,504 ", 4 ," 919,888 ", 31 ,,," 13,459,008 ", 29 ,,," 39,379,590 ", 555 ,,,TX1750005,N,Municipal Long,Municipal
464250,KERR VILLA MOBILE HOME PARK,water system,,,,,,,,,,,,,,,,,,,,TX1330123,N,Municipal Short,Mobile Home Park
465075,LOMA VISTA WATER SYSTEM,water system,2022.0,Y," 3,309 ",,,,,,,,,,,,,,,,,TX1330041,N,Municipal Long,Private/IOU
465560,KEY MOBILE HOME PARK,water system,,,,,,,,,,,,,,,,,,,,TX2080007,N,Municipal Short,Mobile Home Park
465850,CITY OF KILLEEN,water system,2022.0,N," 159,231 "," 3,468,347,605 "," 52,138 "," 475,458,907 "," 11,826 "," 1,030,995,103 "," 3,377 ",,," 30,028,984 ", 26 ,,," 5,004,830,599 "," 67,367 "," 229,664,298 ",,TX0140006,N,Municipal Long,Municipal
465950,KINARD ESTATES,water system,2022.0,Y, 278 ,, 117 ,,,,,,,,,,,, 117 ," 655,776 ", 11 ,TX1810059,N,Municipal Long,Private/IOU
466000,KINBROOK ESTATES,water system,2022.0,Y, 282 ,,,,,,,,,,,,,,,,,TX1840094,N,Municipal Long,Private/IOU
466683,KING COTTLE WSC,water system,2022.0,N, 120 ," 2,900,000 ", 60 ,,,,,,," 250,000 ", 2 ," 96,000,000 ", 445 ," 99,150,000 ", 507 ," 5,000 ", 42 ,TX0510004,N,Municipal Long,Water Supply Corporation
466685,KING RANCH SANTA GERTRUDIS DISTRICT,water system,2022.0,N, 183 ," 39,175,380 ", 88 ,,,,,,,,,,," 39,175,380 ", 88 ,,,TX1370012,N,Municipal Long,Private/IOU
466687,KING RANCH NORIAS,water system,2022.0,N, 82 ," 10,025,905 ", 29 ,,,,,,,,,,," 10,025,905 ", 29 ,,,TX1310003,N,Municipal Long,Private/IOU
466688,KING RANCH LAURELES DIVISION,water system,2022.0,N, 60 ," 4,136,906 ", 30 ,,,,,,,,," 275,794 ", 2 ," 4,412,700 ", 32 ," 4,412,700 ", 32 ,TX1370028,N,Municipal Long,Private/IOU
466700,OAK GROVE TEXAS WSC,water system,2022.0,N, 825 ," 22,090,350 ", 330 ,,,,,,,,,,," 22,090,350 ", 330 ," 55,200 ",,TX1290027,N,Municipal Long,Water Supply Corporation
466702,KINGS POINT WSC,water system,2022.0,N, 120 ," 21,002,491 ", 55 ,,,,,,,,,,," 21,002,491 ", 55 ,,,TX0460205,N,Municipal Long,Private/IOU
466703,KINGS REST SUBDIVISION,water system,2022.0,Y, 75 ,,,,,,,,,,,,,,,,,TX2490032,N,Municipal Long,Private/IOU
466707,KINGSLAND ESTATES WSC,water system,2022.0,N, 31 ," 2,087,120 ", 12 ,,,,,,,,,,," 2,087,120 ", 12 ,,,TX1011567,N,Municipal Long,Water Supply Corporation
466720,KINGSLAND WSC,water system,2022.0,N," 10,500 "," 222,881,000 "," 2,915 "," 28,921,000 ", 102 ," 19,375,000 ", 185 ,,,,,,," 271,177,000 "," 3,202 "," 6,136,000 ",,TX1500012,N,Municipal Long,Water Supply Corporation
466751,KINGMONT MOBILE HOME PARK,water system,,,,,,,,,,,,,,,,,,,,TX1012892,N,Municipal Short,Mobile Home Park
467000,CITY OF KIRBY,water system,2022.0,N," 8,765 "," 166,035,000 "," 2,453 "," 20,236,000 ", 59 ," 24,796,000 ", 114 ,,,,,,," 211,067,000 "," 2,626 ",,,TX0150010,N,Municipal Long,Municipal
467400,CITY OF KIRBYVILLE,water system,2022.0,N," 2,631 "," 22,612,763 ", 801 ," 23,131,008 ", 179 ," 25,487,976 ", 106 ,,," 25,850,466 ", 35 ,,," 97,082,213 "," 1,121 "," 21,974,387 ", 11 ,TX1210002,N,Municipal Long,Municipal
467460,KIRKMONT MUD,water system,2022.0,N," 2,280 "," 47,445,000 ", 758 ,,,,,,," 24,508,000 ", 6 ,,," 71,953,000 ", 764 ," 21,011,650 ", 3 ,TX1010439,N,Municipal Long,District 
467700,CITY OF KIRVIN,water system,2022.0,Y, 606 ,,,,,,,,,,,,,,,,,TX0810019,N,Municipal Long,Water Supply Corporation
467715,KLEIN PUD,water system,2022.0,N," 4,164 "," 149,987,000 "," 1,158 ",,," 6,268,000 ", 36 ,,,,,,," 156,255,000 "," 1,194 "," 3,529,000 ",,TX1011143,N,Municipal Long,District 
467725,KLEINWOOD MUD,water system,2022.0,N," 4,690 "," 11,680,000 ", 772 ," 46,100,000 ", 654 ," 55,972,000 ", 125 ,,," 29,999,000 ", 13 ,,," 143,751,000 "," 1,564 "," 16,373,900 ",,TX1010440,N,Municipal Long,District 
467726,FISHERMANS PARADISE,water system,2022.0,Y, 238 ," 5,782,100 ", 95 ,,,,,,,,,,," 5,782,100 ", 95 ,,,TX1260056,N,Municipal Long,Private/IOU
467728,BOSQUE BASIN WSC,water system,2022.0,N, 213 ," 9,364,000 ", 70 ,,,,,,,,," 30,300 ", 1 ," 9,394,300 ", 71 ," 10,800 ", 5 ,TX1550074,N,Municipal Long,Water Supply Corporation
468100,KNIPPA WSC,water system,2022.0,Y, 689 ," 35,390,200 ", 295 ,,," 1,548,300 ", 4 ,,," 3,149,900 ", 3 ,,," 40,088,400 ", 302 ,,,TX2320004,N,Municipal Long,Water Supply Corporation
468120,KNOB HILL WSC,water system,2022.0,Y, 150 ," 9,131,584 ", 33 ,,,, 1 ,,,,,,," 9,131,584 ", 34 ," 40,000 ",,TX2200310,N,Municipal Long,Private/IOU
468125,KNOB HILL WATER SYSTEM,water system,2022.0,N, 216 ," 5,022,226 ", 78 ,,,,,,,,,,," 5,022,226 ", 78 ," 50,000 ", 3 ,TX0610068,N,Municipal Long,Private/IOU
468200,CITY OF KNOX CITY,water system,2022.0,N," 1,121 "," 21,308,000 ", 426 ," 1,663,000 ", 55 ," 6,272,000 ", 92 ," 589,000 ", 7 ,,,,," 29,832,000 ", 580 ," 1,500,000 ", 27 ,TX1380002,N,Municipal Long,Municipal
469000,CITY OF KOSSE,water system,2022.0,N, 493 ," 11,376,520 ", 243 ,,," 2,891,060 ", 37 ,,,,,,," 14,267,580 ", 280 ,,,TX1470003,N,Municipal Long,Municipal
469800,CITY OF KOUNTZE,water system,2022.0,N," 2,828 "," 39,433,200 ", 931 ," 5,157,070 ", 164 ," 10,916,930 ", 113 ,,," 11,860,700 ", 36 ,,," 67,367,900 "," 1,244 "," 453,930 ",,TX1000001,N,Municipal Long,Municipal
470600,KRESS MUNICIPAL WATER SYSTEM,water system,2022.0,N, 725 ," 20,544,060 ", 310 ,,,,,,,,,,," 20,544,060 ", 310 ,,,TX2190002,N,Municipal Long,Municipal
471350,MUSTANG SUD,water system,2022.0,N," 74,019 "," 2,164,224,355 "," 21,713 "," 67,943,492 ", 13 ," 68,354,959 ", 156 ,,," 26,684,255 ", 67 ," 268,095,564 "," 2,724 "," 2,595,302,625 "," 24,673 ",,,TX0610036,N,Municipal Long,District 
471400,CITY OF KRUM,water system,2022.0,N," 5,905 "," 130,000,000 "," 2,025 "," 11,000,000 ", 231 ," 8,000,000 ", 75 ,,," 3,000,000 ", 31 ,,," 152,000,000 "," 2,362 ",,,TX0610007,N,Municipal Long,Municipal
477375,LA CALETA ESTATES,water system,2022.0,Y, 192 ," 2,069,351 ", 64 ,,,,,,,,,,," 2,069,351 ", 64 ,,,TX2330063,N,Municipal Long,Private/IOU
477499,SAWS TEXAS RESEARCH PARK,water system,2022.0,N," 26,501 "," 680,218,955 "," 9,596 "," 44,681,772 "," 1,112 "," 128,024,213 ", 328 ,, 1 ,,,,," 852,924,940 "," 11,037 ",,,TX0150497,N,Municipal Long,Private/IOU
478000,CITY OF LA COSTE,water system,2022.0,N," 1,302 "," 34,733,700 ", 439 ,,," 7,040,600 ", 41 ," 141,400 ", 1 ," 2,094,400 ", 12 ," 209,700 ", 6 ," 44,219,800 ", 499 ," 2,181,149 ", 44 ,TX1630004,N,Municipal Long,Municipal
478800,CITY OF LADONIA,water system,2022.0,N, 615 ,, 545 ,, 25 ,, 17 ,,,, 15 ,, 3 ,, 605 ,,,TX0740004,N,Municipal Long,Municipal
478810,WOOD TRAIL WATER SUPPLY,water system,2022.0,N, 188 ," 5,929,500 ", 70 ,,,,,,,,,,," 5,929,500 ", 70 ,,,TX1330137,N,Municipal Long,Water Supply Corporation
479000,CITY OF LA FERIA,water system,2022.0,N," 6,817 "," 154,396,923 "," 2,641 "," 2,887,380 ", 13 ," 53,180,830 ", 489 ,,," 8,693,680 ", 29 ,,," 219,158,813 "," 3,172 "," 6,870,130 ", 100 ,TX0310003,N,Municipal Long,Municipal
479500,LAGO VISTA WATER SYSTEM,water system,2022.0,N, 25 ," 1,007,630 ", 15 ,, 1 ,, 1 ,,,,,,," 1,007,630 ", 17 ," 1,007,630 ", 17 ,TX0940029,N,Municipal Long,Private/IOU
479600,CITY OF LA GRANGE,water system,2022.0,N," 4,391 "," 132,872,000 "," 2,024 "," 4,667,000 ", 146 ," 47,623,000 ", 350 ,,,,,,," 185,162,000 "," 2,520 "," 6,841,000 ", 408 ,TX0750003,N,Municipal Long,Municipal
479610,CITY OF LA GRULLA,water system,2022.0,N," 8,688 "," 268,735,000 "," 2,852 "," 1,358,000 ", 13 ," 15,184,000 ", 68 ,,,,,,," 285,277,000 "," 2,933 ",,,TX2140006,N,Municipal Long,Municipal
479650,LAGUNA TRES SUBDIVISION,water system,2022.0,N, 672 ," 17,012,246 ", 224 ,,,,,,,,,,," 17,012,246 ", 224 ,,,TX1110019,N,Municipal Long,Private/IOU
479655,LAGUNA VISTA SUBDIVISION,water system,2022.0,N, 669 ," 24,498,456 ", 223 ,,,,,,,,,,," 24,498,456 ", 223 ,,,TX1110095,N,Municipal Long,Private/IOU
479680,LAJITAS ON THE RIO GRANDE,water system,2022.0,Y, 942 ," 3,872,662 ", 54 ," 5,217,480 ", 40 ," 21,587,100 ", 209 ,, 3 ," 436,500 ", 2 ,,," 31,113,742 ", 308 ," 1,092,000 ", 2 ,TX0220018,N,Municipal Long,Private/IOU
479690,CITY OF LA JOYA,water system,2022.0,N," 5,294 "," 76,209,500 "," 1,047 ",,,,,,," 62,320,900 ", 143 ,,," 138,530,400 "," 1,190 "," 100,000 ", 95 ,TX1080213,N,Municipal Long,Municipal
479800,LA JUNTA,water system,2022.0,Y, 102 ,,,,,,,,,,,,,,,,,TX1840016,N,Municipal Long,Private/IOU
480351,LAKE BONANZA WSC,water system,2022.0,N," 2,769 "," 49,300,935 ", 923 ,,,,,,,,,,," 49,300,935 ", 923 ,,,TX1700578,N,Municipal Long,Water Supply Corporation
480359,LAKE CONROE HILLS MUD,water system,2022.0,N," 2,394 "," 56,362,000 ", 782 ,,," 2,321,000 ", 9 ,,,,," 871,000 ", 7 ," 59,554,000 ", 798 ,,,TX1700140,N,Municipal Long,District 
480380,LAKE CONROE VILLAGE,water system,2022.0,Y," 1,323 "," 15,428,000 ", 529 ,,,,,,,,,,," 15,428,000 ", 529 ," 260,000 ",,TX1700543,N,Municipal Long,Private/IOU
480400,LAKE CITIES MUNICIPAL UTILITY AUTHORITY,water system,2022.0,N," 15,800 "," 509,817,200 "," 5,255 "," 39,788,900 "," 1,004 "," 62,103,100 ", 259 ,,," 25,174,550 ", 77 ,,," 636,883,750 "," 6,595 ",,,TX0610029,N,Municipal Long,Authority
480405,LAKE CREEK FOREST,water system,2022.0,Y, 741 ,, 247 ,,,, 3 ,,,,,,,, 250 ," 3,000 ",,TX1700529,N,Municipal Long,Private/IOU
480905,LAKE FOREST WATER SYSTEM,water system,2022.0,N, 111 ," 2,291,630 ", 37 ,,,,,,,,,,," 2,291,630 ", 37 ,,,TX2390012,N,Municipal Long,Private/IOU
480951,LAKE IONI WATER SUPPLY,water system,2022.0,N, 189 ," 1,280,681 ", 67 ,,,,,,,,,,," 1,280,681 ", 67 ,,,TX0010054,N,Municipal Long,Private/IOU
480963,LAKE PALESTINE WATER,water system,2022.0,Y," 2,772 "," 35,925,600 ", 924 ,,,,,,,,,,," 35,925,600 ", 924 ,,,TX1070198,N,Municipal Long,Private/IOU
481200,CITY OF LAKE JACKSON,water system,2022.0,N," 28,100 "," 556,953,000 "," 8,629 "," 165,941,000 "," 3,730 "," 289,601,000 ", 536 ,,," 95,765,000 ", 136 ,,," 1,108,260,000 "," 13,032 "," 21,882,000 "," 1,046 ",TX0200006,N,Municipal Long,Municipal
481266,LAKELAND SERVICES,water system,2022.0,N, 51 ," 1,183,860 ", 29 ,,,,,,,,,,," 1,183,860 ", 29 ," 500,000 ", 7 ,TX1540007,N,Municipal Long,Private/IOU
481270,LAKELAND WATER SYSTEM,water system,2022.0,N, 309 ," 5,797,000 ", 103 ,,,,,,," 5,000 ",,,," 5,802,000 ", 103 ," 902,000 ",,TX1700019,N,Municipal Long,Private/IOU
481275,LAKE LIMESTONE COVES WATER SYSTEM,water system,2022.0,N," 1,314 "," 9,263,896 ", 438 ,,,,,,,,,,," 9,263,896 ", 438 ,,,TX1980020,N,Municipal Long,Private/IOU
481276,LAKE LIVINGSTON VILLAGE,water system,2022.0,Y, 717 ,, 239 ,,,, 2 ,,,,,,,, 241 ," 39,000 ",,TX1870156,N,Municipal Long,Private/IOU
481277,LAKE LIVINGSTON HEIGHTS WSC,water system,2022.0,N, 59 ," 2,014,022 ", 59 ,,,,,,,,,,," 2,014,022 ", 59 ,,,TX2360035,N,Municipal Long,Water Supply Corporation
481310,LAKE MUD,water system,2022.0,N," 6,069 "," 126,543,000 "," 2,010 ",,," 1,675,000 ", 3 ,,," 5,804,000 ", 3 ," 4,823,000 ", 11 ," 138,845,000 "," 2,027 "," 1,720,000 ", 6 ,TX1011741,N,Municipal Long,District 
