Year,TWDB Survey No,PWS Name,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections 
2023,371021,HARRIS COUNTY WCID 21,N," 13,679 "," 297,039,800 "," 2,888 ",, 259 ,,,,,,,,," 297,039,800 "," 3,147 "," 25,000,000 ",
2022,371036,HARRIS COUNTY WCID 36,N," 11,792 "," 171,598,000 "," 3,105 "," 56,203,000 ", 282 ," 69,187,000 ", 326 ,,,,,,," 296,988,000 "," 3,713 ",,
2023,371036,HARRIS COUNTY WCID 36,N," 11,902 "," 176,027,000 "," 3,119 "," 53,917,000 ", 280 ," 74,655,000 ", 328 ,,,,,,," 304,599,000 "," 3,727 ",,
2022,371050,HARRIS COUNTY WCID 50 EL LAGO,N," 3,006 "," 93,565,000 "," 1,028 "," 21,144,000 ", 5 ,,,,,,,,," 114,709,000 "," 1,033 ",,
2023,371050,HARRIS COUNTY WCID 50 EL LAGO,N," 3,000 "," 93,101,000 "," 1,006 "," 15,690,000 ", 5 ," 1,863,000 ", 10 ,,," 1,088,000 ", 3 ,,," 111,742,000 "," 1,024 ",,
2022,371070,HARRIS COUNTY WCID 70,N," 2,058 "," 52,880,000 ", 699 ,,,,,,," 9,268,000 ", 3 ,,," 62,148,000 ", 702 ,,
2023,371070,HARRIS COUNTY WCID 70,N," 2,061 "," 64,151,000 ", 701 ,,,,,,," 8,400,000 ", 3 ,,," 72,551,000 ", 704 ,,
2022,371074,HARRIS COUNTY WCID 74,N," 3,819 "," 74,492,000 "," 1,216 "," 84,836,000 ", 7 ," 30,841,000 ", 43 ,,," 2,221,000 ", 7 ,,," 192,390,000 "," 1,273 ",,
2023,371074,HARRIS COUNTY WCID 74,N," 5,559 "," 68,503,000 "," 1,217 "," 63,147,000 ", 584 ," 20,569,000 ", 45 ,,," 18,808,000 ", 7 ,,," 171,027,000 "," 1,853 ",,
2022,371084,HARRIS COUNTY WCID 84,N," 6,582 "," 130,348,000 "," 1,779 "," 19,688,000 ", 346 ," 140,814,000 ", 67 ,,," 14,377,000 ", 21 ,,," 305,227,000 "," 2,213 "," 3,127,335 ", 2 
2023,371084,HARRIS COUNTY WCID 84,N," 6,573 "," 136,722,000 "," 1,779 "," 20,214,000 ", 346 ," 144,712,000 ", 63 ,,," 14,378,000 ", 21 ,,," 316,026,000 "," 2,209 "," 3,347,935 ", 2 
2022,371089,HARRIS COUNTY WCID 89,N," 8,259 "," 170,701,700 "," 2,720 "," 18,641,000 ", 1 ," 11,432,600 ", 29 ,,," 441,100 ", 4 ," 10,219,900 ", 40 ," 211,436,300 "," 2,794 "," 3,347,000 ",
2023,371089,HARRIS COUNTY WCID 89,N," 9,039 "," 181,087,100 "," 2,740 "," 16,695,500 ", 240 ," 10,911,600 ", 29 ,,," 181,000 ", 4 ," 13,002,800 ", 40 ," 221,878,000 "," 3,053 "," 27,533,000 ",
2022,371091,HARRIS COUNTY WCID 91,N," 3,018 "," 64,185,000 ", 767 ," 21,998,000 ", 180 ," 5,977,000 ", 49 ,,,,," 1,071,000 ", 10 ," 93,231,000 "," 1,006 ",,
2023,371091,HARRIS COUNTY WCID 91,N," 3,021 "," 61,199,000 ", 770 ," 11,362,000 ", 180 ," 2,554,000 ", 40 ,,," 1,039,000 ", 6 ," 1,501,000 ", 11 ," 77,655,000 "," 1,007 "," 3,425,000 ",
2022,371092,HARRIS COUNTY WCID 92,N," 4,755 "," 111,280,000 "," 1,550 ",,," 9,243,000 ", 27 ,,," 2,914,000 ", 8 ,,," 155,220,944 "," 1,585 "," 4,687,328 ",
2023,371092,HARRIS COUNTY WCID 92,N," 4,755 "," 110,549,000 "," 1,550 ",,," 9,767,000 ", 30 ,,," 3,225,000 ", 5 ,,," 123,541,000 "," 1,585 "," 4,111,730 ",
2022,371096,HARRIS COUNTY WCID 96,N," 10,518 "," 281,058,700 "," 2,047 "," 50,215,000 "," 1,424 "," 26,190,500 ", 29 ,,," 2,796,600 ", 6 ," 58,143,300 ", 176 ," 418,404,100 "," 3,682 "," 3,791,000 ",
2023,371096,HARRIS COUNTY WCID 96,N," 10,539 "," 290,107,000 "," 2,052 "," 47,616,200 "," 1,424 "," 29,512,300 ", 30 ,,," 2,272,000 ", 7 ," 57,416,600 ", 180 ," 426,924,100 "," 3,693 "," 3,878,000 ",
2022,371099,HARRIS COUNTY WCID 99,N," 2,343 "," 51,413,000 ", 494 ," 4,329,000 ", 287 ," 138,000 ", 8 ,,," 8,759,000 ", 1 ," 5,888,000 ", 5 ," 70,527,000 ", 795 ,,
2023,371099,HARRIS COUNTY WCID 99,N," 2,343 "," 48,934,000 ", 494 ," 7,605,000 ", 287 ," 9,941,000 ", 8 ,,,,," 4,813,000 ", 5 ," 71,293,000 ", 794 ,,
2022,371109,HARRIS COUNTY WCID 109,N," 10,612 "," 234,280,000 "," 2,093 "," 94,688,000 "," 1,286 "," 81,877,000 ", 151 ,,," 4,033,000 ", 7 ,,," 414,878,000 "," 3,537 "," 18,859,000 ",
2023,371109,HARRIS COUNTY WCID 109,N," 10,590 "," 220,635,000 "," 2,094 "," 94,344,000 "," 1,286 "," 79,426,000 ", 143 ,,," 3,487,000 ", 7 ,,," 397,892,000 "," 3,530 "," 6,136,300 ",
2022,371110,HARRIS COUNTY WCID 110,N," 9,414 "," 213,618,000 "," 2,173 "," 50,133,000 ", 591 ," 109,610,700 ", 372 ,,," 54,000 ", 2 ,,," 373,415,700 "," 3,138 "," 25,871,300 ",
2023,371110,HARRIS COUNTY WCID 110,N," 9,807 "," 112,592,000 "," 1,310 "," 19,968,000 ",," 73,421,000 ", 124 ,,," 51,339,000 ", 780 ," 16,803,000 ", 134 ," 274,123,000 "," 2,348 "," 3,695,000 ",
2022,371113,HARRIS COUNTY WCID 113 ENCHANTED VILLAGE,N," 1,266 "," 40,614,000 ", 412 ,,," 3,582,000 ", 7 ,,," 988,000 ", 1 ," 261,000 ", 2 ," 45,445,000 ", 422 ,,
2023,371113,HARRIS COUNTY WCID 113 ENCHANTED VILLAGE,N," 1,260 "," 39,576,000 ", 395 ,,," 3,703,000 ", 14 ,,," 1,337,000 ", 7 ," 287,000 ", 4 ," 44,903,000 ", 420 ," 3,277,000 ",
2022,371114,HARRIS COUNTY WCID 114,N," 5,151 "," 262,576,000 "," 1,717 ",,," 17,791,000 ", 34 ,,,,," 11,673,000 ", 53 ," 292,040,000 "," 1,804 ",,
2023,371114,HARRIS COUNTY WCID 114,N," 5,151 "," 251,449,000 "," 1,721 ",,," 14,857,000 ", 33 ,,," 1,953,000 ", 2 ," 11,132,000 ", 53 ," 279,391,000 "," 1,809 ",,
2022,371116,HARRIS COUNTY WCID 116,N," 3,627 "," 135,578,000 ", 871 ," 21,653,000 ", 303 ," 17,387,000 ", 35 ,,," 1,423,000 ", 4 ," 4,125,000 ", 18 ," 180,166,000 "," 1,231 "," 5,807,000 ", 8 
2023,371116,HARRIS COUNTY WCID 116,N," 3,627 "," 132,153,000 ", 875 ," 24,409,000 ", 303 ," 16,544,000 ", 38 ,,," 847,000 ", 4 ," 2,835,000 ", 17 ," 176,788,000 "," 1,237 "," 6,001,000 ", 8 
2022,371119,HARRIS COUNTY WCID 119,N," 9,198 "," 285,338,000 "," 2,984 ",,," 24,152,000 ", 73 ,,," 5,544,000 ", 9 ,,," 330,802,000 "," 3,066 "," 13,910,415 ",
2023,371119,HARRIS COUNTY WCID 119,N," 9,204 "," 277,954,000 "," 2,985 ",,," 25,073,000 ", 72 ,,," 4,894,000 ", 11 ,,," 323,689,000 "," 3,068 "," 3,593,920 ",
2022,371132,HARRIS COUNTY WCID 132,N," 4,099 "," 56,571,000 ", 620 ," 44,066,000 ", 697 ," 7,161,000 ", 49 ,,,,,,," 107,798,000 "," 1,366 "," 3,110,908 ",
2023,371132,HARRIS COUNTY WCID 132,N," 4,096 "," 56,640,000 ", 620 ," 44,803,000 ", 697 ," 6,724,000 ", 49 ,,,,,,," 108,167,000 "," 1,366 ",,
2022,371133,HARRIS COUNTY WCID 133,N," 5,109 "," 114,484,000 "," 1,388 "," 23,204,000 ", 264 ," 28,769,000 ", 42 ,,,,," 5,758,000 ", 9 ," 172,215,000 "," 1,703 ",,
2023,371133,HARRIS COUNTY WCID 133,N," 5,997 "," 98,694,000 "," 1,378 "," 27,019,000 ", 564 ," 34,908,000 ", 41 ,,," 1,010,000 ", 3 ," 6,744,000 ", 13 ," 168,375,000 "," 1,999 "," 5,770,000 ",
2022,371136,HARRIS COUNTY WCID 136,N," 3,210 "," 61,320,000 "," 1,008 "," 1,442,000 ", 1 ," 2,219,000 ", 15 ," 1,028,000 ", 9 ," 1,278,000 ", 2 ,,," 67,287,000 "," 1,035 ",,
2023,371136,HARRIS COUNTY WCID 136,N," 3,210 "," 62,114,000 "," 1,008 "," 1,441,000 ", 1 ," 2,429,000 ", 15 ," 2,090,000 ", 9 ," 1,004,000 ", 2 ,,," 69,078,000 "," 1,035 ",,
2022,372006,HARRIS COUNTY UTILITY DISTRICT 6,N," 11,082 "," 184,760,000 "," 2,441 "," 52,249,000 "," 1,160 "," 38,489,000 ", 97 ,,," 2,249,000 ", 10 ," 15,460,000 ", 37 ," 293,207,000 "," 3,745 "," 32,073,675 ", 1 
2023,372006,HARRIS COUNTY UTILITY DISTRICT 6,N," 11,058 "," 181,659,500 "," 2,440 "," 52,685,000 "," 1,160 "," 34,585,000 ", 92 ,,," 1,338,000 ", 10 ," 14,646,000 ", 37 ," 284,913,500 "," 3,739 "," 27,313,500 ", 1 
2022,372014,HARRIS COUNTY UD 14,N," 2,799 "," 51,813,000 ", 867 ,,," 30,408,000 ", 35 ,,," 25,315,000 ", 24 ,,," 107,536,000 ", 926 ,,
2023,372014,HARRIS COUNTY UD 14,N," 2,781 "," 46,816,000 ", 866 ,,," 25,985,000 ", 36 ,,,,," 17,424,000 ", 23 ," 90,225,000 ", 925 ,,
2022,372015,HARRIS COUNTY UD 15,N," 3,552 "," 61,476,000 ", 888 ," 6,315,000 ", 238 ," 13,916,000 ", 37 ,,,,," 9,846,000 ", 21 ," 91,553,000 "," 1,184 "," 4,720,000 ",
2023,372015,HARRIS COUNTY UD 15,N," 2,868 "," 61,371,000 ", 892 ," 14,548,000 ", 2 ," 14,442,000 ", 35 ,,," 399,000 ", 2 ," 9,286,000 ", 25 ," 100,046,000 ", 956 ," 14,290,000 ",
2022,372016,HARRIS COUNTY UD 16,N," 6,063 "," 153,484,000 "," 2,005 ",,," 3,169,000 ", 15 ,,," 281,000 ", 2 ," 12,434,000 ", 34 ," 169,368,000 "," 2,056 "," 3,733,652 ", 1 
2023,372016,HARRIS COUNTY UD 16,N," 6,063 "," 149,057,000 "," 2,005 ",,," 2,481,000 ", 17 ,,," 356,000 ", 2 ," 13,555,000 ", 49 ," 165,449,000 "," 2,073 "," 5,452,521 ", 1 
2022,372020,HARRIS FORT BEND COUNTIES MUD 1,N," 3,756 "," 142,537,000 "," 1,239 ",,," 26,685,000 ", 15 ,,,,," 4,414,000 ", 18 ," 173,636,000 "," 1,272 "," 493,000 ", 1 
2023,372020,HARRIS FORT BEND COUNTIES MUD 1,N," 3,756 "," 143,580,000 "," 1,238 ",,," 29,497,000 ", 14 ,,,,," 4,044,000 ", 18 ," 177,121,000 "," 1,270 "," 646,000 ", 1 
2022,372023,HARRIS-FORT BEND COUNTIES MUD 3,N," 8,473 "," 44,799,000 ", 595 ," 88,104,000 "," 2,113 "," 76,225,000 ", 116 ,,,,,,," 209,128,000 "," 2,824 "," 20,342,900 ",
2023,372023,HARRIS-FORT BEND COUNTIES MUD 3,N," 8,489 "," 44,839,000 ", 593 ," 89,872,000 "," 2,113 "," 76,490,600 ", 123 ,,,,,,," 211,201,600 "," 2,829 "," 234,300 ",
2022,372349,HARRISBURG WSC,N, 100 ," 2,613,650 ", 42 ,,,,,,,,,,," 2,613,650 ", 42 ," 300,000 ", 8 
2023,372349,HARRISBURG WSC,N, 100 ," 3,124,600 ", 42 ,,,,,,,,,,," 3,124,600 ", 42 ," 440,000 ", 8 
2022,372350,CENTER POINT,N, 189 ," 3,882,000 ", 63 ,,,,,,,,,,," 3,882,000 ", 63 ," 105,500 ",
2023,372350,CENTER POINT,N, 183 ," 4,318,000 ", 61 ,,,,,,,,,,," 4,318,000 ", 61 ," 312,000 ",
2022,372400,HART MUNICIPAL WATER SYSTEM,N," 1,114 "," 61,091,000 ", 382 ,,," 3,012,000 ", 39 ,,,,,,," 64,103,000 ", 421 ," 500,000 ", 3 
2023,372400,HART MUNICIPAL WATER SYSTEM,Y," 1,114 "," 61,091,000 ", 382 ,,," 3,012,000 ", 39 ,,,,,,," 64,103,000 ", 421 ," 500,000 ", 3 
2022,373200,HARTLEY WSC,N, 455 ," 30,000,000 ", 190 ,,," 8,000,000 ", 10 ," 6,000,000 ", 12 ," 5,000,000 ", 20 ," 10,000,000 ", 13 ," 59,000,000 ", 245 ," 1,364,000 ", 5 
2023,373200,HARTLEY WSC,N, 460 ," 44,000,000 ", 192 ,,," 7,000,000 ", 10 ," 5,000,000 ", 12 ," 9,000,000 ", 20 ," 9,000,000 ", 13 ," 74,000,000 ", 247 ," 148,000 ", 5 
2022,374412,OAK RIDGE ESTATES,Y, 60 ," 517,500 ", 20 ,,,,,,,,,,," 517,500 ", 20 ,,
2023,374412,OAK RIDGE ESTATES,Y, 60 ," 517,500 ", 20 ,,,,,,,,,,," 517,500 ", 20 ,,
2022,374414,ROCKWALL EAST MINI RANCH,Y, 114 ," 2,380,400 ", 38 ,,,,,,,,,,," 2,380,400 ", 38 ,,
2023,374414,ROCKWALL EAST MINI RANCH,Y, 114 ," 2,380,400 ", 38 ,,,,,,,,,,," 2,380,400 ", 38 ,,
2022,374800,CITY OF HASKELL,Y," 3,200 ",, 250 ,," 1,000 ",, 250 ,,,,,, 100 ,," 1,600 ",,
2023,374800,CITY OF HASKELL,Y," 3,200 ",, 250 ,," 1,000 ",, 250 ,,,,,, 100 ,," 1,600 ",,
2022,374801,OAK VILLAGE NORTH,N," 1,950 "," 41,625,000 ", 650 ,,,,,,,,,,," 41,625,000 ", 650 ," 10,013,000 ",
2023,374801,OAK VILLAGE NORTH,N," 1,944 "," 35,980,000 ", 648 ,,,,,,,,,,," 35,980,000 ", 648 ," 23,106,000 ",
2022,374803,OAK NORTH MOBILE HOMES ESTATES,N," 1,068 "," 22,374,000 ", 351 ,,," 144,000 ", 4 ,,," 31,000 ", 1 ,,," 22,549,000 ", 356 ," 6,247,000 ",
2023,374803,OAK NORTH MOBILE HOMES ESTATES,N," 1,065 "," 20,305,000 ", 350 ,,," 89,000 ", 4 ,,," 118,000 ", 1 ,,," 20,512,000 ", 355 ," 6,766,000 ",
2022,374807,CASCADE MOBILE HOME PARK,N, 306 ," 4,040,000 ", 99 ,,," 195,000 ", 3 ,,,,,,," 4,235,000 ", 102 ," 2,267,000 ",
2023,374807,CASCADE MOBILE HOME PARK,N, 297 ," 3,635,000 ", 96 ,,," 76,000 ", 3 ,,,,,,," 3,711,000 ", 99 ," 1,994,000 ",
2022,374808,COOLCREST WATER SYSTEM,N, 996 ," 15,767,000 ", 324 ," 391,000 ", 1 ," 168,000 ", 5 ,,," 52,000 ", 1 ," 14,000 ", 1 ," 16,392,000 ", 332 ," 14,207,000 ",
2023,374808,COOLCREST WATER SYSTEM,N, 990 ," 14,554,000 ", 322 ," 337,000 ", 1 ," 907,000 ", 5 ,,," 69,000 ", 1 ," 12,000 ", 1 ," 15,879,000 ", 330 ," 13,412,000 ",
2022,374820,STAGECOACH HILLS,N, 504 ," 12,313,000 ", 167 ,,," 155,000 ", 1 ,,,,,,," 12,468,000 ", 168 ," 6,282,000 ",
2023,374820,STAGECOACH HILLS,N, 507 ," 10,745,000 ", 168 ,,," 149,000 ", 1 ,,,,,,," 10,894,000 ", 169 ," 9,495,000 ",
2022,374900,CITY OF HASLET,N," 2,730 "," 245,686,507 "," 1,488 ",,," 158,617,238 ", 189 ,,," 7,843,683 ", 21 ,,," 412,147,428 "," 1,698 ",,
2023,374900,CITY OF HASLET,N," 3,579 "," 297,692,670 "," 1,796 "," 10,027,448 ", 27 ," 160,648,827 ", 169 ,,,,,,," 468,368,945 "," 1,992 ",,
2022,374920,HASTINGS HOMEOWNERS WATER SYSTEM,Y, 195 ," 4,187,000 ", 65 ,,,,,,,,,,," 4,187,000 ", 65 ," 2,000 ",
2023,374920,HASTINGS HOMEOWNERS WATER SYSTEM,Y, 195 ," 4,187,000 ", 65 ,,,,,,,,,,," 4,187,000 ", 65 ," 2,000 ",
2022,375600,CITY OF HAWKINS,N," 1,350 "," 28,229,000 ", 584 ,,," 4,112,000 ", 25 ," 5,683,000 ", 3 ," 6,588,000 ", 45 ," 1,246,000 ", 31 ," 45,858,000 ", 688 ," 3,714,705 ", 12 
2023,375600,CITY OF HAWKINS,N," 1,314 "," 26,878,000 ", 565 ,,," 1,840,000 ", 25 ," 17,058,000 ", 3 ," 6,516,000 ", 45 ," 2,122,000 ", 30 ," 54,414,000 ", 672 ," 4,335,585 ", 11 
2022,375800,HAWLEY WSC,N," 7,281 "," 129,692,700 "," 2,427 ",,," 17,066,500 ", 200 ,,,,,,," 146,759,200 "," 2,627 ",,
2023,375800,HAWLEY WSC,N," 8,097 "," 125,033,200 "," 2,501 ",,,,,,,,," 15,324,600 ", 198 ," 140,357,800 "," 2,699 ",,
2022,376450,HAZY HILLS WSC,N, 150 ," 2,641,000 ", 49 ,,,,,,,,,,," 2,641,000 ", 49 ,,
2023,376450,HAZY HILLS WSC,N, 150 ," 2,661,000 ", 45 ,,," 276,000 ", 5 ,,,,,,," 2,937,000 ", 50 ,,
2022,376500,HAZY HOLLOW EAST ESTATES,N," 2,397 "," 16,371,000 ", 799 ,,,,,,,,,,," 16,371,000 ", 799 ," 20,000 ",
2023,376500,HAZY HOLLOW EAST ESTATES,N," 2,397 "," 62,034,000 ", 799 ,,,,,,,,,,," 62,034,000 ", 799 ," 1,000,000 ",
2022,377200,CITY OF HEARNE,N," 4,523 "," 130,000,000 "," 2,229 "," 4,450,000 ", 8 ," 134,919,000 ", 295 ,,,,,,," 269,369,000 "," 2,532 "," 2,000,000 ", 10 
2023,377200,CITY OF HEARNE,N," 4,959 "," 181,000,000 "," 2,229 "," 4,450,000 ", 8 ," 134,919,000 ", 297 ," 8,000,000 ", 2 ,,,,," 328,369,000 "," 2,536 "," 300,000 ", 10 
2022,377274,CITY OF HEATH,N," 9,890 "," 837,045,000 "," 3,993 "," 8,942,000 ", 32 ," 21,323,000 ", 150 ,,," 10,248,000 ", 50 ,,," 877,558,000 "," 4,225 "," 4,048,000 ", 200 
2023,377274,CITY OF HEATH,N," 9,900 "," 832,579,000 "," 4,029 "," 1,032,000 ", 32 ," 46,350,000 ", 174 ,,," 13,315,000 ", 50 ,,," 893,276,000 "," 4,285 "," 2,517,000 ", 200 
2022,377275,HEATHERLOCH MUD,N," 6,753 "," 77,153,000 ", 549 ," 98,496,000 "," 1,672 "," 3,119,000 ", 15 ,,," 7,894,000 ", 15 ,,," 186,662,000 "," 2,251 ",,
2023,377275,HEATHERLOCH MUD,N," 6,822 "," 75,472,000 ", 571 ," 86,831,000 "," 1,672 "," 2,098,000 ", 16 ,,," 12,966,000 ", 15 ,,," 177,367,000 "," 2,274 ",,
2022,378000,JIM HOGG COUNTY WCID 2,N," 5,856 "," 132,844,900 "," 1,746 "," 10,665,400 ", 67 ," 27,439,900 ", 185 ,,,,,,," 170,950,200 "," 1,998 "," 4,892,000 ", 356 
2023,378000,JIM HOGG COUNTY WCID 2,N," 5,397 "," 119,367,600 "," 1,388 "," 13,066,700 ", 265 ," 10,850,600 ", 65 ,,," 16,155,500 ", 81 ,,," 159,440,400 "," 1,799 "," 1,500,000 ", 120 
2022,378244,NORTHWOOD MUD 1,N, 816 ,,," 18,504,000 ", 256 ," 6,385,000 ", 32 ,,,,,,," 24,889,000 ", 288 ," 84,960 ", 1 
2023,378244,NORTHWOOD MUD 1,N, 816 ,,," 18,085,000 ", 256 ," 8,699,000 ", 31 ,,,,,,," 26,784,000 ", 287 ," 69,250 ", 1 
2022,378800,HEDLEY MUNICIPAL WATER SYSTEM,Y, 308 ," 4,690,946 ", 144 ,,," 2,297,284 ", 18 ,,,,," 401,590 ", 12 ," 7,389,820 ", 174 ,,
2023,378800,HEDLEY MUNICIPAL WATER SYSTEM,N, 275 ," 3,754,870 ", 142 ," 175,000 ", 10 ," 33,440 ", 2 ,,," 305,716 ", 7 ," 419,458 ", 10 ," 4,688,484 ", 171 ," 200,000 ", 41 
2022,378850,BELL COUNTY WCID 5,N, 537 ," 10,945,100 ", 179 ,,,,,,,,,,," 10,945,100 ", 179 ,,
2023,378850,BELL COUNTY WCID 5,N, 543 ," 11,230,500 ", 181 ,,,,,,,,,,," 11,230,500 ", 181 ,,
2022,379200,HEIGHTS WATER,Y, 336 ," 205,800 ", 112 ,,,,,,,,,,," 205,800 ", 112 ," 4,540,000 ",
2023,379200,HEIGHTS WATER,Y, 336 ," 205,800 ", 112 ,,,,,,,,,,," 205,800 ", 112 ," 4,540,000 ",
2022,379400,CITY OF HEMPHILL,N," 1,198 "," 22,349,000 ", 499 ,,," 12,137,000 ", 179 ,,," 7,254,000 ", 25 ,,," 41,740,000 ", 703 ," 6,120,000 ", 2 
2023,379400,CITY OF HEMPHILL,N," 1,137 "," 30,892,000 ", 497 ,,," 11,375,000 ", 183 ,,," 1,554,000 ", 25 ,,," 43,821,000 ", 705 ," 5,831,000 ", 2 
2022,379600,CITY OF HEMPSTEAD,N," 5,770 "," 122,913,400 "," 1,845 ",,," 43,135,200 ", 264 ,,,,,,," 166,048,600 "," 2,109 ",, 277 
2023,379600,CITY OF HEMPSTEAD,N," 6,179 "," 1,931 "," 1,931 ", 10 ,, 282 ,,,,,,,," 2,223 "," 1,931 ",,
2022,380400,CITY OF HENDERSON,N," 13,700 "," 307,472,300 "," 4,239 "," 45,922,860 ", 95 ," 71,340,630 ", 582 ," 88,792,506 ", 28 ," 333,392,300 ", 165 ," 9,059,160 ",," 855,979,756 "," 5,109 "," 12,519,000 ",
2023,380400,CITY OF HENDERSON,N," 13,700 "," 352,554,000 "," 4,257 "," 37,118,000 ", 95 ," 107,387,000 ", 609 ," 97,440,000 ", 28 ," 84,611,000 ", 165 ," 48,303,000 ", 15 ," 727,413,000 "," 5,169 ",,
2022,382850,CITY OF HENRIETTA,N," 3,141 "," 73,939,700 "," 1,403 "," 14,872,400 ", 177 ," 6,188,900 ", 45 ,,," 7,220,500 ", 61 ," 928,300 ", 1 ," 103,149,800 "," 1,687 "," 13,000,000 ", 14 
2023,382850,CITY OF HENRIETTA,N," 3,111 "," 76,921,920 "," 1,330 "," 14,957,040 ", 177 ," 6,410,160 ", 46 ,,," 7,478,520 ",," 1,068,360 ", 2 ," 106,836,000 "," 1,555 ",,
2022,383600,HEREFORD MUNICIPAL WATER SYSTEM,N," 16,000 "," 481,174,335 "," 5,106 "," 48,025,665 ", 471 ," 448,819,000 ", 636 ," 1,113,112,000 ", 2 ,,,,," 2,091,131,000 "," 6,215 "," 78,430,000 ", 356 
2023,383600,HEREFORD MUNICIPAL WATER SYSTEM,Y," 16,000 "," 481,174,335 "," 5,106 "," 48,025,665 ", 471 ," 448,819,000 ", 636 ," 1,113,112,000 ", 2 ,,,,," 2,091,131,000 "," 6,215 "," 78,430,000 ", 356 
2022,384175,HERITAGE OAKS SUBDIVISION,N, 350 ," 6,898,000 ", 137 ,,,,,,,,,,," 6,898,000 ", 137 ," 48,000 ", 5 
2023,384175,HERITAGE OAKS SUBDIVISION,N, 375 ," 6,459,000 ", 137 ,,,,,,,,,,," 6,459,000 ", 137 ," 248,000 ", 5 
2022,384400,HERMLEIGH WATER SYSTEM,Y, 345 ," 6,000,000 ", 157 ,,," 2,000,000 ", 21 ,,," 2,000,000 ", 7 ,,," 10,000,000 ", 185 ," 150,000 ", 16 
2023,384400,HERMLEIGH WATER SYSTEM,Y, 345 ," 6,000,000 ", 157 ,,," 2,000,000 ", 21 ,,," 2,000,000 ", 7 ,,," 10,000,000 ", 185 ," 150,000 ", 16 
2022,384425,HERITAGE PARK WATER SYSTEM,N, 90 ," 2,411,000 ", 30 ,,,,,,,,,,," 2,411,000 ", 30 ," 13,900 ",
2023,384425,HERITAGE PARK WATER SYSTEM,N, 87 ," 2,170,000 ", 29 ,,,,,,,,,,," 2,170,000 ", 29 ," 27,000 ",
2022,385200,CITY OF HEWITT,N," 17,272 "," 441,741,400 "," 4,753 "," 73,563,400 "," 1,697 "," 46,410,900 ", 372 ,,," 22,645,600 ", 43 ,,," 584,361,300 "," 6,865 ",,
2023,385200,CITY OF HEWITT,N," 18,705 "," 445,356,800 "," 5,247 "," 68,724,900 "," 1,071 "," 53,916,100 ", 370 ,,," 24,842,400 ", 59 ,,," 592,840,200 "," 6,747 "," 8,200,000 ",
2022,385400,HICKORY CREEK SUD,N," 5,040 "," 98,749,000 "," 1,680 ",,,,,,," 896,000 ", 1 ,,," 99,645,000 "," 1,681 ",,
2023,385400,HICKORY CREEK SUD,N," 5,241 "," 95,449,000 "," 1,744 ",,," 1,128,000 ", 2 ,,," 1,006,000 ", 1 ,,," 97,583,000 "," 1,747 ",,
2022,385410,HICKORY HILL WATER,N, 345 ," 5,983,395 ", 115 ,,,,,,,,,,," 5,983,395 ", 115 ,,
2023,385410,HICKORY HILL WATER,N, 345 ," 9,855,422 ", 115 ,,,,,,,,,,," 9,855,422 ", 115 ,,
2022,386800,CITY OF HICO,N," 1,400 "," 33,248,500 ", 600 ," 2,941,950 ", 85 ," 10,489,640 ", 121 ,,," 5,845,670 ", 32 ," 1,260,710 ", 21 ," 53,786,470 ", 859 ," 382,055 ", 8 
2023,386800,CITY OF HICO,N," 1,350 "," 32,838,090 ", 611 ," 3,386,060 ", 26 ," 11,935,410 ", 131 ,,," 7,269,440 ", 39 ," 765,250 ", 21 ," 56,510,850 ", 828 ," 316,600 ", 8 
2022,387600,CITY OF HIDALGO,N," 14,239 "," 534,319,044 "," 4,100 "," 53,076,716 ", 378 ," 144,792,758 ", 466 ,,," 8,230,690 ", 10 ,,," 740,419,208 "," 4,954 "," 5,979,980 ", 2 
2023,387600,CITY OF HIDALGO,N," 14,800 "," 298,026,382 "," 3,819 "," 22,308,780 ", 411 ," 198,638,945 ", 407 ,,," 5,773,500 ", 8 ,,," 524,747,607 "," 4,645 "," 5,979,980 ", 2 
2022,387610,HIDALGO COUNTY MUD 1,N," 8,171 "," 133,502,100 "," 2,962 ",,," 33,239,700 ", 114 ,,,,,,," 351,741,800 "," 3,077 "," 7,000,000 ", 4 
2023,387610,HIDALGO COUNTY MUD 1,N," 8,078 "," 132,776,780 "," 2,980 ",,," 32,833,800 ", 110 ,,,,,,," 318,610,580 "," 3,091 "," 7,000,000 ", 4 
2022,387810,HIDDEN VALLEY WATER SYSTEM,Y, 186 ,,,,,,,,,,,,,,,,
2023,387810,HIDDEN VALLEY WATER SYSTEM,Y, 186 ,,,,,,,,,,,,,,,,
2022,387820,SOUTHERN WATER,N," 3,933 "," 81,860,000 "," 1,255 ",,," 18,981,000 ", 45 ,,,,,,," 101,228,000 "," 1,300 "," 22,520,000 ", 60 
2023,387820,SOUTHERN WATER,N," 3,945 "," 87,596,000 "," 1,255 ",,," 18,387,000 ", 47 ,,,,,,," 107,096,000 "," 1,302 "," 16,532,000 ", 60 
